gene_id	n_transcripts	max_prop_range	mean_prop_sd
LOC107442412	2	0.99999999999993	0.483176636434985
LOC107449306	2	0.999999999999928	0.499999999999934
LOC107438554	2	0.999999999999922	0.499999999999906
LOC107452495	2	0.99999999999992	0.487871505424566
LOC107457063	3	0.999999999999917	0.477564249910788
LOC107439500	2	0.999999999999916	0.409521660852415
LOC107446349	2	0.999999999999911	0.472107136713728
LOC107442251	2	0.999999999999881	0.499999999999852
LOC107436484	3	0.999999999999868	0.351350597608304
LOC107455433	3	0.999999999999868	0.403712060770989
LOC107440473	2	0.999999999999868	0.499999999999806
LOC107440840	2	0.999999999999863	0.517859923282963
LOC107442273	2	0.999999999999841	0.471407926705242
LOC107449891	2	0.999999999999815	0.481426813568724
LOC107442396	2	0.999999999999788	0.472270999966485
LOC110282887	3	0.999999999999783	0.367467816718819
LOC107437356	2	0.999999999999756	0.470969081765014
LOC107446561	2	0.999999999999754	0.488709026416512
LOC107436588	2	0.99999999999972	0.577350269189289
LOC107447968	2	0.999999999999718	0.499999999999662
LOC107438763	2	0.999999999999713	0.48281389496534
LOC107455755	3	0.99999999999971	0.327327842957044
LOC107446337	2	0.999999999999708	0.577350269189223
LOC107441436	2	0.999999999999699	0.577350269189203
LOC107457370	4	0.999999999999689	0.290355429212337
LOC107445743	2	0.999999999999678	0.499999999999637
LOC107441030	2	0.999999999999658	0.499999999999635
LOC107440070	2	0.999999999999649	0.499999999999324
LOC107452897	2	0.999999999999623	0.499999999999547
LOC107437287	3	0.99999999999962	0.456192481360302
LOC107439020	2	0.999999999999611	0.577350269187781
LOC107436403	2	0.999999999999594	0.460151272474221
LOC107446372	2	0.999999999999592	0.499999999999509
LOC107438181	3	0.999999999999561	0.317956949520466
LOC107440184	3	0.999999999999558	0.381436327733265
LOC107443458	3	0.999999999999558	0.371115574622872
LOC107445643	2	0.999999999999558	0.474311578981367
LOC107444534	2	0.999999999999556	0.499999999998912
LOC107452286	2	0.999999999999505	0.489195478155412
LOC107448994	3	0.999999999999503	0.342907777828578
LOC107451488	3	0.999999999999492	0.323592943487654
LOC107452541	4	0.999999999999471	0.364806773710503
LOC107452103	3	0.99999999999946	0.316235928160088
LOC107440901	2	0.999999999999454	0.577350269189016
LOC122271459	2	0.999999999999441	0.539051644972663
LOC107453663	2	0.999999999999425	0.577350269188958
LOC107456799	3	0.999999999999425	0.331677871941437
LOC107456293	2	0.999999999999415	0.577350269188735
LOC107455365	2	0.999999999999408	0.577350269188829
LOC107455284	2	0.99999999999939	0.499999999998446
LOC107446785	2	0.999999999999385	0.499999999999457
LOC107441673	2	0.999999999999383	0.538675134592746
LOC107453093	2	0.999999999999379	0.577350269188897
LOC107445255	2	0.999999999999367	0.516174911523241
LOC107446614	2	0.999999999999359	0.476110691064673
LOC107439300	3	0.999999999999355	0.334566961122222
LOC107439674	2	0.99999999999932	0.471704757327385
LOC107438339	2	0.999999999999315	0.499999999998943
LOC107441008	2	0.999999999999306	0.49999999999921
LOC107455314	3	0.999999999999306	0.442150607765189
LOC107448881	2	0.999999999999296	0.577350269187986
LOC107437615	5	0.999999999999275	0.241187445927997
LOC107453332	2	0.99999999999927	0.454470483100746
LOC107436302	2	0.999999999999254	0.534382439212876
LOC107440013	3	0.999999999999248	0.345744675602384
LOC107447618	4	0.999999999999248	0.290241301288245
LOC107455815	2	0.999999999999242	0.457876929649602
LOC107439658	2	0.999999999999231	0.499999999999163
LOC107440272	2	0.999999999999213	0.513462587801524
LOC107452047	2	0.999999999999153	0.577350269182954
LOC107445965	4	0.999999999999138	0.349461520809665
LOC107440660	3	0.999999999999115	0.489607816556391
LOC107445300	2	0.999999999999107	0.577350269188094
LOC107456952	2	0.999999999999099	0.49999999999904
LOC107456986	2	0.999999999999097	0.499999999999132
LOC107456254	2	0.999999999999057	0.516041342990036
LOC107436297	2	0.999999999999048	0.577350269188439
LOC107448306	2	0.999999999999038	0.56686975777325
LOC107444740	2	0.999999999999	0.49999999999787
LOC107448605	2	0.99999999999899	0.577350269187543
LOC107446586	2	0.99999999999898	0.577350269187706
LOC107454659	2	0.99999999999898	0.424027727817145
LOC107436231	2	0.999999999998969	0.577350269188409
LOC107444057	2	0.999999999998947	0.538675134592393
LOC107451419	2	0.999999999998947	0.49999999999844
LOC107455475	2	0.999999999998947	0.499999999999157
LOC107453775	3	0.999999999998901	0.399271358556095
LOC107438849	2	0.999999999998876	0.453510006387706
LOC107451582	2	0.999999999998876	0.499999999998279
LOC107452992	3	0.999999999998876	0.441235252740106
LOC107455883	2	0.999999999998864	0.499999999998054
LOC107454928	2	0.999999999998851	0.471648885812194
LOC107448732	2	0.99999999999881	0.538391644156245
LOC107443893	3	0.999999999998795	0.443370360637938
LOC107453206	2	0.999999999998795	0.487436241128768
LOC107457257	2	0.999999999998795	0.420064347017662
LOC107448048	2	0.99999999999878	0.499999999998518
LOC107450602	2	0.99999999999878	0.44724061787127
LOC107450964	2	0.99999999999878	0.499999999972418
LOC107443723	2	0.999999999998765	0.493131529326902
LOC107452457	2	0.999999999998765	0.474774495844866
LOC107445777	2	0.99999999999875	0.4570040986357
LOC107447906	2	0.99999999999875	0.486845125818839
LOC107448065	2	0.99999999999875	0.577350269183522
LOC107451031	2	0.99999999999875	0.499999999998899
LOC107442383	3	0.999999999998718	0.401997610152509
LOC107450836	2	0.999999999998718	0.499999999998336
LOC107452994	3	0.999999999998718	0.382242333438771
LOC107447766	2	0.999999999998701	0.499999999995173
LOC107452383	2	0.999999999998684	0.434104940122745
LOC107452737	2	0.999999999998682	0.492996815038417
LOC107442546	2	0.999999999998667	0.499999999997145
LOC107453613	2	0.999999999998667	0.456822438890179
LOC107455970	2	0.999999999998667	0.499999999998547
LOC107457578	3	0.999999999998667	0.398304387794451
LOC107441456	2	0.999999999998645	0.492402668993661
LOC107440566	2	0.99999999999863	0.482464733649863
LOC107438309	2	0.999999999998611	0.499999999998827
LOC107443270	2	0.999999999998611	0.577350269186564
LOC107442595	2	0.999999999998571	0.57735026918774
LOC107448419	2	0.999999999998571	0.577350269187066
LOC107450405	3	0.999999999998571	0.484700379783145
LOC107439155	2	0.999999999998551	0.499999999997692
LOC107450807	2	0.999999999998551	0.499999999998776
LOC107451155	2	0.999999999998551	0.509611952743746
LOC107440650	2	0.999999999998529	0.499999999997998
LOC107452458	2	0.999999999998517	0.577350269187766
LOC107453626	2	0.999999999998507	0.503903451499071
LOC107454313	2	0.999999999998507	0.499999999986426
LOC107446663	5	0.999999999998485	0.298248023609135
LOC107453725	2	0.999999999998485	0.472826215854259
LOC107457207	2	0.999999999998485	0.562062073985087
LOC107439829	2	0.999999999998437	0.55951475098957
LOC107440935	2	0.999999999998437	0.499999999996981
LOC107449563	3	0.999999999998437	0.337614974399754
LOC122269554	2	0.999999999998437	0.489093572544263
LOC107440404	2	0.999999999998413	0.499999999974049
LOC107437705	2	0.999999999998387	0.577350269187499
LOC107441334	2	0.999999999998387	0.499999999996477
LOC107437442	2	0.999999999998361	0.479737511117392
LOC107439026	2	0.999999999998361	0.499999999997995
LOC107443099	2	0.999999999998361	0.472351857216309
LOC107445245	2	0.999999999998333	0.502252924950433
LOC107449242	4	0.999999999998333	0.302907040533313
LOC107452462	2	0.999999999998333	0.499999999997251
