p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.3776730490731e-105	0.89161706796596	0.477	0.282	1.60071831571803e-101	0	LOC107452613
5.81289654026179e-103	0.824610255073569	0.551	0.367	6.75400449013017e-99	0	LOC107448683
8.08654568971662e-96	1.2098298893606	0.286	0.137	9.39575743688174e-92	0	LOC107440894
2.67199495864353e-95	1.1340345388184	0.508	0.346	3.10459094244792e-91	0	LOC107441868
9.68334947267628e-88	0.450449535607221	0.898	0.798	1.12510837523026e-83	0	LOC107441824
8.39650419377988e-85	0.760812197900261	0.549	0.376	9.75589822275285e-81	0	LOC107446074
1.08608609456148e-84	0.830045909888282	0.475	0.305	1.26192343327098e-80	0	LOC107441543
7.53761472541649e-83	1.01252230947444	0.346	0.194	8.75795454946142e-79	0	LOC107440911
3.16697001649945e-82	0.912904496221949	0.464	0.306	3.67970246217071e-78	0	LOC107443911
5.63235186458013e-79	0.850650612956884	0.417	0.256	6.54422963145566e-75	0	LOC107444082
3.90566068960152e-78	0.327997237422502	0.968	0.918	4.53798715524801e-74	0	LOC107454099
2.45175176672485e-75	0.680327128623593	0.629	0.482	2.8486903777576e-71	0	LOC107449704
1.98462201704953e-73	0.701949538935369	0.498	0.333	2.30593232160985e-69	0	LOC107437528
1.23713579550609e-69	0.88688811841105	0.501	0.369	1.43742808079852e-65	0	LOC107451346
3.30200931117265e-69	0.755681159934416	0.554	0.407	3.83660461865151e-65	0	LOC107437002
1.53401184520689e-68	0.87690301267351	0.36	0.217	1.78236836294589e-64	0	LOC107448763
2.27608771789834e-61	0.844301274394765	0.308	0.178	2.64458631942608e-57	0	LOC107439363
4.54524881591899e-61	0.310953775065067	0.948	0.897	5.28112459921628e-57	0	LOC107455393
6.37390350081137e-57	0.915006274412689	0.269	0.152	7.40583847759274e-53	0	LOC107447937
1.1476254633356e-51	0.923343467880064	0.265	0.155	1.33342602584963e-47	0	LOC107455141
1.82166441276998e-49	0.435082561934905	0.709	0.608	2.11659188119745e-45	0	LOC107444097
8.12834672678701e-48	0.58164109291281	0.513	0.385	9.44432606185382e-44	0	LOC107440625
6.42626734595688e-46	0.595118774573306	0.477	0.357	7.4666800292673e-42	0	LOC107446303
2.47269314052684e-43	0.851364532428979	0.255	0.154	2.87302215997813e-39	0	LOC107447528
5.91827747461984e-41	0.629544964697477	0.408	0.293	6.87644659776079e-37	0	LOC107454046
4.15956289581101e-35	0.693271894074102	0.302	0.205	4.83299612864281e-31	0	LOC107437190
1.63736494921091e-31	0.536451784331276	0.412	0.31	1.90245433448816e-27	0	LOC107441644
2.18322921952271e-31	0.619661986922794	0.321	0.225	2.53669403016344e-27	0	LOC107441107
3.01560765094746e-31	0.625272272417916	0.344	0.25	3.50383452963586e-27	0	LOC107446848
7.53824414210166e-28	0.436990900412772	0.459	0.362	8.75868586870792e-24	0	LOC107439108
1.59410848077717e-27	0.710172425008605	0.265	0.183	1.85219464381499e-23	0	LOC107443647
2.15232630834545e-27	0.604651523357549	0.257	0.172	2.50078793766658e-23	0	LOC107436691
5.02975316729917e-27	0.548910789958924	0.318	0.228	5.84407020508491e-23	0	LOC107445759
6.81819424490621e-27	0.496931966308661	0.415	0.321	7.92205989315653e-23	0	LOC107451211
1.09446231241026e-26	0.402137871133071	0.468	0.366	1.27165576078948e-22	0	LOC107438078
8.65011485875386e-26	0.314926662036852	0.621	0.523	1.00505684543861e-21	0	LOC107439618
1.24370705078488e-25	0.392585786601301	0.554	0.471	1.44506322230695e-21	0	LOC107455372
1.33421450202063e-24	0.426656249127051	0.457	0.365	1.55022382989777e-20	0	LOC107446551
9.39906836598404e-24	0.600508004003728	0.263	0.185	1.09207775344369e-19	0	LOC107442485
3.06805554390719e-23	0.361201515471259	0.489	0.394	3.56477373646577e-19	0	LOC107442955
6.95372008319636e-23	0.475666519986293	0.512	0.435	8.07952736466585e-19	0	LOC107439303
7.89085736621637e-22	0.46875860069514	0.359	0.277	9.1683871738068e-18	0	LOC107447736
4.58726509647875e-21	0.395541746979063	0.405	0.319	5.32994331559866e-17	0	LOC107449611
8.1236980847924e-21	0.563621413393675	0.28	0.205	9.43892480472029e-17	0	LOC107447505
1.38005153641781e-20	0.32055980426878	0.588	0.508	1.60348188016385e-16	0	LOC107449508
1.29574465549617e-18	0.568471490507565	0.256	0.19	1.505525715221e-14	0	LOC107452507
3.10827438410412e-18	0.413381084034692	0.277	0.204	3.61150400689057e-14	0	LOC107457357
4.2226472858026e-18	0.476421356118521	0.269	0.199	4.90629388137404e-14	0	LOC107436264
6.56817310513119e-18	0.366942285455137	0.378	0.296	7.63156033085193e-14	0	LOC139424846
1.73210176447155e-16	0.509200992539147	0.274	0.21	2.01252904013949e-12	0	LOC107442039
8.14138972627305e-16	0.265869455846929	0.536	0.461	9.45948072295665e-12	0	LOC107443493
1.18052867495498e-15	0.338728656181011	0.409	0.335	1.37165626743019e-11	0	LOC107441156
